rank,term,doc_freq,frequency,adj_frequency,methods,nonambiguous,informative,type,topic,role,notes,example
14,property,80,1356,794,"spacy,textacy,yake",1,informative,PROPERTY-RES,,EVIDENCE,,"Explanation.--For the purposes of this section, `cruelty' means:- (a) any wilful conduct which is of such a nature as is likely to drive the woman to commit suicide or to cause grave injury or danger to life, limb or health (whether mental "
15,person,79,1049,788,"spacy,textacy,yake",1,informative,PARTY-ACTOR,,ACTOR,,"According to the Autopsy Surgeon, Dr. Harpal Kaur (PW2), the following ante-mortem injuries were found on the person of the deceased:- 1) A punctured lacerated wound with inverted margins measuring 0.5 cms in diameter over left lumber regio"
16,party,83,997,776,"spacy,yake",1,informative,PARTY-ACTOR,,ACTOR,,"When the three accused Harjinder Singh-A2, Ajaib Singh-A4 and Tarsem Singh (Who is dead) as members of the first party, who came in tractor, were inflicting blows on the deceased and the above named alleged eye witnesses, the other three ac"
17,provision,77,1150,771,"spacy,textacy",1,informative,STATUTE-PROVISION,,RULE,,(6) Where there is an express legal bar engrafted in any of the provisions of the Code or the concerned Act (under which a criminal proceeding is instituted) to the institution and continuance of the proceedings and/or where there is a spec
18,right,81,1192,727,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,over the right side of the scalp 3 cms lateral and parallel to the anterior posterior mid-line of the scalp. 11.
19,constitution,54,786,714,"spacy,yake",1,informative,STATUTE-PROVISION,CONSTITUTIONAL,RULE,,"(1) , this court in the backdrop of interpretation of various relevant provisions of the Code of Criminal Procedure (for short, Cr.P.C.) under Chapter XIV and of the principles of law enunciated by this court in a series of decisions relati"
20,appeal,98,1524,709,"spacy,textacy",1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,This appeal by three-convicted accused is being decided with Criminal Appeal No. 814 of 2001 preferred by the State of Punjab against the acquittal of other three accused in the same incident.
21,suit,50,933,695,"spacy,yake",1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,"This civil appeal arises out of judgment and decree rendered by Karnataka High Court on 22.3.1999 filed under section 96 CPC against judgment and decree dated 11.10.1996 passed in O.S. No. 3656/81 on the file of City Civil Judge, Bangalore,"
22,application,66,860,644,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,In September 1994 an application was moved before the Naib Tehsildar for demarcation of the street.
23,rule,70,791,620,"rake,spacy,textacy,yake",1,informative,STATUTE-PROVISION,,RULE,,"The only rule relevant for our present purposes is rule 25, dealing with contracts."
24,transfer,46,691,588,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"500/- (rupees five hundred) per each such share in addition to expenses of such transfer of shares pertaining to those shares only,"" 3."
25,claim,78,735,572,"spacy,textacy",1,informative,LEGAL-CONCEPT,,ISSUE,,"It was sufficient, for disposing of this claim, to deal with this aspect of the matter and the larger aspect of Oil and Natural Gas Commission being a public utility undertaking could be left out of account."
26,land,63,1385,571,"spacy,yake",1,informative,PROPERTY-RES,,EVIDENCE,,"According to him the cause of the incident is long pending dispute regarding the piece of land on which the complainant party had stocked their wood and Harjit Singh And vs State Of Punjab on 16 August, 2002 thereby caused obstruction to th"
27,interest,71,738,543,"spacy,textacy",1,informative,LEGAL-CONCEPT,,ISSUE,,It is also for the court to take into consideration any special features which appear in a particular case to consider whether it is expedient and in the interest of justice to permit a prosecution to continue.
28,judgment,100,967,538,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"These appeals arise out of the judgment of the High Court of Punjab and Haryana dated 27th November, 2000."
29,power,54,1144,532,"spacy,textacy",1,informative,LEGAL-CONCEPT,,ISSUE,,Lord Salmon in Director of Public Prosecutions v. Humphrys [1977] AC 1 stressed the importance of the inherent power when he observed that it is only if the prosecution amounts to an abuse of the process of the court and is oppressive and v
30,record,72,545,497,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,There is nothing on record to disbelieve the version of the prosecution witnesses that three accused as members of the first party armed with lethal weapons came on the tractor and challenged the deceased who was asserting his right on piec
31,possession,52,670,490,"spacy,yake",1,informative,LEGAL-CONCEPT,POSSESSION,ISSUE,,"The suit was instituted by Iyengar Krishnamurthy S. Setlur Dead By Lrs vs O. V. Narasimha Setty & on 23 February, 2007 against K.S. Setlur and Shyamala Raju stating that they had unauthorisedly disturbed his possession."
32,clause,56,715,484,spacy,1,informative,STATUTE-PROVISION,,RULE,,"But the Oil and Natural Gas Commission being a State instrumentality, is bound to act reasonably in the matter of fixation of price; such price is bound to be determined by following any one of the modalities suggested in the judgment of th"
33,trial,51,563,476,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"Tarsem Singh (who died during the trial) was also charged for voluntarily causing hurt to Harjinder Singh (deceased) and thereby committed an offence under Section 323 read with Section 149, IPC."
34,dispute,100,516,447,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,To explain the nature of dispute over the piece of land he states that he is member of the Panchayat and with co-accused had approached the Gram Panchayat with a request that the path by which they approached their houses from the village b
35,grant,70,465,430,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"Black's Law Dictionary (Fifth Edition) defines a ""public utility"" thus at p. 1108: ""Public Utility: A privately owned and operated business whose services are so essential to the general public as to justify the grant of special franchises "
36,plaintiff,31,463,421,"spacy,yake",1,informative,PARTY-ACTOR,,ACTOR,,"As only 251 bags were received at the destination, the plaintiff made a claim for the price of the 4 bags of coconuts by (1) Nag. 85. way of damages."
37,premise,40,524,415,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,"A provision in an ordinance granting a franchise to an electric light company, that the city should not require the company to make ""extensions"" except upon certain conditions does not affect the right of a resident in an established servic"
38,evidence,65,560,408,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,It is submitted that these three co-accused might have proceeded together on the tractor but it is not possible from that evidence and from their subsequent acts to infer that they had a common intention to commit murder of the deceased.
39,share,33,496,391,"spacy,yake",1,informative,LEGAL-CONCEPT,PARTITION,ISSUE,,"Increasingly, the share of the profits of public enterprises in financing the investment and maintenance expenditure of government must keep on increasing."
40,notice,75,484,379,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"If any abuse of the process leading to injustice is brought to the notice of the court, then the Court would be justified in preventing injustice by invoking inherent powers in absence of specific provisions in the Statute."
41,sale,37,645,378,spacy,1,informative,LEGAL-CONCEPT,SALE-CONTRACT,ISSUE,,"Functions of the Commission-- (1) Subject to the provisions of this Act, the functions of the Commission shall generally be to plan, promote, organise and implement programmes for the development of petroleum resources and the production an"
42,member,44,478,377,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"All the six accused persons have been alleged to be members of an unlawful assembly and with common object alleged to have committed murder of Harjinder Singh (hereinafter referred to as the ""deceased"") on 15.10.1994 in Village Chhichrewal "
43,defendant,31,560,374,"spacy,yake",1,informative,PARTY-ACTOR,,ACTOR,,79/49 was for permanent injunction restraining the defendants from interfering with the possession of Iyengar (plaintiff).
44,vs state,19,367,367,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"Reddy HARI SAO AND Vs. STATE OF BIHAR 15/10/1969 MITTER, G.K. MITTER, G.K. SIKRI, S.M. REDDY, P. JAGANMOHAN CITATION: 1970 (2) 823 1969 (3) 107 ACT: Indian Railways Act (9 of 1890), ss. 73 and 74 and Goods Tariff General Rules, rr. 15 and 2"
45,contract,39,494,366,"spacy,textacy,yake",1,informative,INSTRUMENT-EVIDENCE,SALE-CONTRACT,EVIDENCE,,"Aggrieved by the steady rise in the prices, the respondents Association of Natural Gas Consuming Industries and Others--moved the Bombay High Court in March 1979 by way of a writ petitionIn the petition it was, inter alia, prayed that the O"
46,limitation,36,406,364,"spacy,yake",1,informative,LEGAL-CONCEPT,PROCEDURE-REMEDY,ISSUE,,""" The second constraint is in regard to the rates that can be charged by such an undertaking: A public utility may, in the absence of a legislative prescription or limitation of rates, fix and exact reasonable rates for services furnished, "
47,report,54,548,361,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,Copy of the report of the Forensic Science Laboratory is Ex.
48,firm,20,616,350,"spacy,textacy",1,informative,PARTY-ACTOR,,ACTOR,,In Dominion of India v. Firm Museram Kishunprasad(l) a a railway receipt was issued to the consignor qualified with the statement that the wagon was said to contain 255 bags of coconuts.
49,union,38,580,348,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"premier Automobiles v. Union, [1972] 2 S.C.R. 526; Panipat Cooperative Sugar Mills v. Union, [1973] Oil And Natural Gas Commission And vs Association Of Natural Gas Consuming ... on 4 May, 1990 2 S.C.R. 860; Shree Meenakshi Mills v. Union, "
50,tenant,26,632,341,"spacy,textacy,yake",1,informative,PARTY-ACTOR,TENANCY-LEASE,ACTOR,,In his defence Raju stated that he was in possession for eight years; that he continued to be in possession; that Iyengar was collecting rents arising from the suit properties as a constituted attorney of K.S. Setlur; that on termination of
51,agreement,52,509,335,"rake,spacy,yake",1,informative,INSTRUMENT-EVIDENCE,SALE-CONTRACT,EVIDENCE,,"On this basis, an agreement was entered into between them in March, 1963 whereunder the price of fuel oil was fixed at Rs.77.26 per tonne including rail frieght; and, based on this price and thermal value equivalence, the price of Cambay ga"
52,state government,31,332,332,"rake,spacy",1,informative,FORUM-AUTHORITY,,ACTOR,,"Under the above provision, the Board is under a statutory obligation to carry on its operations and adjust its tariffs in such a way to ensure that the total revenues earned in any year of account shall, after meeting all expenses chargeabl"
53,company,36,641,327,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"Initially, the ONGC entered into contracts valid for a period of five years at a time but, subsequently--it is said, due to a fear of possible shortage in the availability of enough gas--this was changed and the contracts were, generally, m"
54,landlord,18,378,320,"spacy,textacy",1,informative,PARTY-ACTOR,TENANCY-LEASE,ACTOR,,"He further alleged that after 1946, Shyamala Raju had considered him as the landlord."
55,writ,43,331,319,spacy,1,informative,PROCEDURE-RELIEF,CONSTITUTIONAL,PROCEDURAL,,2) The appellant has filed this appeal against the final judgment and order dated 28.03.2011 passed by the High Court of Karnataka at Bangalore in a writ of Habeas Corpus being Writ Petition No. 220 of 2010 whereby the High Court dismissed 
56,officer,49,683,318,"spacy,textacy",1,informative,FORUM-AUTHORITY,,ACTOR,,"Rule 115 states as follows: ""Any dispute touching the business of a registered society (i) between members or past members of a society or persons claiming through a member or past member, (ii) or between a member or a past member or person"
57,trial court,38,316,316,"spacy,textacy,yake",1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"The three accused namely, Harjeet Singh, Varinderjit Singh and Gursharan Singh have been convicted under Sections 302, 307, 326, 324 and 323 read with Section 34 IPC and the sentences imposed on them by the trial court have been maintained."
58,code,47,517,314,"spacy,yake",1,informative,STATUTE-PROVISION,,RULE,,The main question which falls for consideration in this case is whether the High Court was justified in not exercising its inherent powers under section 482 of the Code of Criminal Procedure in the facts and circumstances of this case? 15.
59,consideration,81,406,301,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,We shall deal with that medical report at the appropriate stage when we take for consideration the part allegedly played in the incident by the convicted accused. 14.
60,petitioner,34,340,300,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"However, the complainant in her statement made under solemn affirmation has stated that when she came to Ranchi on the occasion of Holi, all the accused persons came and passed sarcastic remarks which in absence of actual wordings, accordin"
61,decree,39,530,299,spacy,1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,If because of temperamental incompatibility they cannot live with each other then it is proper that they should jointly get a decree of divorce by mutual consent.
62,authority,70,652,297,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,Authority of the court exists for the advancement of justice.
63,learn counsel,61,294,294,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"Learned counsel submits that the other three accused viz., Harjit Singh (A-1), Inderjit Singh (A-3) and Ajaib Singh (A-4) went to the spot after they had heard a commotion described as Raula or noise of fighting."
64,order date,64,288,288,rake,0,non-informative,TEMPORAL,,,,
65,compensation,25,353,284,"rake,spacy",1,informative,MONETARY-VALUATION,LAND-ACQUISITION,EVIDENCE,,"It was also stated that in future if any of his brothers or legal representatives would make any claim or raise any dispute or the purchaser would be dispossessed, the seller would pay compensation, damages and costs to the buyer."
66,income,29,493,283,"spacy,yake",1,informative,MONETARY-VALUATION,,EVIDENCE,,"But the High Court on a reference at the instance of the assessee, held that the value of these goods could not be treated as revenue receipt because they `had been received by way of gift and in any event, even if they constituted revenue "
67,reference,60,323,282,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"And vs State Of Punjab on 16 August, 2002 vary depending not only on the injurious sequel but also on the part played and the circumstances present, making a personalized approach with reference to each."
68,proceeding,58,488,275,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,Hari Singh (PW1) was asked to sign the proceedings prepared by the Kanungo but he refused to sign it.
69,price,24,495,274,"spacy,textacy",1,informative,MONETARY-VALUATION,,EVIDENCE,,"The appellant had agreed to supply this gas to the Gujarat State Electricity Board (GSEB) and the Gujarat State Fertiliser Corporation (GSFC) at a price related to fuel oil price on the basis of thermal value equivalence, without any refere"
70,commission,34,598,270,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"Even if the accused (A-1) was admitted in hospital, nothing prevented him or other co-accused from lodging a report of commission of offence by the members of the deceased party."
71,counsel,73,555,261,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"Shri Potti, learned counsel for the consumers placed great reliance on the observations of this Court in Kerala State Electricity Board v. Indian Aluminium Co.,"
72,service,39,547,245,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,On behalf of the respondents it was contended that a public utility undertaking could not arbitrarily discontinue its supply or services merely because the customer was unwilling to pay the price asked for as unconscionable and unreasonable
73,income tax,18,238,238,"spacy,yake",1,informative,MONETARY-VALUATION,,EVIDENCE,,"Commissioner Of Income Tax, Patiala vs M/S. Groz Backert Saboo Ltd on 22 November, 1978 COURT 376, 1979 TAX."
74,document,42,330,238,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,The defendants contended that neither K.S. Setlur nor Shyamala Raju were in possession in 1946 and that documents of allotment were fictitious and never acted upon.
75,writ petition,39,237,237,"spacy,textacy",1,informative,PROCEDURE-RELIEF,CONSTITUTIONAL,PROCEDURAL,,"The Judgment of the Court was delivered by RANGANATHAN, J. These are eleven appeals preferred by the Oil and Natural Gas Commission (ONGC, for short) from a judgment and order, dated 30th July, 1983, of a Division Bench of the High Court of"
76,tribunal,30,419,229,"spacy,yake",1,informative,FORUM-AUTHORITY,,ACTOR,,"It is of interest that in the second case, dealing with the question whether interest cannot be taken into account in working out profits, the Court observed, ( p. 235, para 5): 'The facile assumption by the Tribunal that the interest shoul"
77,appellate,83,321,229,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"227 of the Constitution, was not =powered to reverse the findings of the Industrial Court and the Labour Court because under that Article it could not Ahmedabad Mfg. & Calico Ptg. Co. Ltd vs Ram Tahel Ramnand & on 14 April, 1972 perform the"
78,petition,61,612,229,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"Aggrieved by the steady rise in the prices, the respondents Association of Natural Gas Consuming Industries and Others--moved the Bombay High Court in March 1979 by way of a writ petitionIn the petition it was, inter alia, prayed that the O"
79,division,39,281,226,spacy,1,informative,JURISDICTION-PLACE,,EVIDENCE,,"The firm as such has no separate rights of its own in the partnership assets but it is the partners who own jointly in common the assets of the partnership and, therefore, the consequence of the distribution, division or allotment of assets"
80,principle,62,341,224,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"(1) , this court in the backdrop of interpretation of various relevant provisions of the Code of Criminal Procedure (for short, Cr.P.C.) under Chapter XIV and of the principles of law enunciated by this court in a series of decisions relati"
81,tax,28,688,214,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,"Commissioner Of Income Tax, Patiala vs M/S. Groz Backert Saboo Ltd on 22 November, 1978 COURT 376, 1979 TAX."
82,purchase,32,219,212,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"In that suit, Setlur had claimed that he was the real purchaser of the suit lands from Kalyan Sundram Iyer in 1941-42; that Iyengar was his agent and was only a benamidar and, therefore, the purchase by Iyengar was only for the benefit of K"
83,consent,32,241,212,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"The fact that a pipe laid by a water company along a street in the exercise of its franchise was laid under an agreement, with certain persons who paid the expenses, that they should have the exclusive use of water, and that the company sho"
84,notification,27,334,210,spacy,1,informative,STATUTE-PROVISION,LAND-ACQUISITION,RULE,,"(ix) We wish to add that we are not called upon to, and do not, express any opinion regarding the notification dated 30.1.87 of the Government issued subsequently fixing the price at Rs. 1,400 plus."
85,charge,48,298,204,spacy,1,informative,LEGAL-CONCEPT,MORTGAGE-CHARGE,ISSUE,,"The High Court also acquitted the other three co-accused for charge under Sections 148, 149, IPC. 3."
86,people,24,225,202,spacy,1,informative,PARTY-ACTOR,,ACTOR,,This clearly demonstrates discontent and unrest in the family life of a large number of people of the society. 29.
87,partition,11,274,201,spacy,1,informative,LEGAL-CONCEPT,PARTITION,ISSUE,,"Sub-section (1) of s. 21 provides that the Consolidation Officer shall carry out a re-partition in Roop Chand vs State Of Punjab on 10 October, 1962 accordance with the scheme as confirmed under s. 20."
88,v. state,26,198,198,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"See following observations of Justice Krishna Iyer speaking for this Court in Hira Lal Malik v. State : ""When a crime is committed by the concerted action of a plurality of persons constructive liability implicates each participant, but the"
89,legislature,33,236,196,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"In this case, the court observed that ends of justice are higher than the ends of mere law though justice must be administered according to laws made by the legislature."
90,direction,43,231,194,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,The members of second party armed with firearms may have come from the same direction to the place of occurrence on hearing a commotion created due to fight between members of party No. 1 on one part and the members of the deceased party on
91,district,51,577,193,spacy,1,informative,JURISDICTION-PLACE,,EVIDENCE,,"Furthermore, the obligation of a public utility, such as a gas, water, or electric company, to supply a given district is inclusive of the duty, under reasonable limitations, to carry the mains or lines of the utility to a point on the cons"
92,title,37,255,193,spacy,1,informative,LEGAL-CONCEPT,TITLE-OWNERSHIP,ISSUE,,The question of title was not gone into by the trial court.
93,magistrate,18,274,191,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"(2) Where the allegations in the first information report and other materials, if any, accompanying the FIR do not disclose a cognizable offence, justifying an investigation by police officers under Section 156(1) of the Code except under a"
94,payment,53,216,189,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,"If the Board borrows sums either from the government or from other sources or by the issue of debentures and bonds, surely the Board must of necessity make provision year after year for the payment of interest on the loans taken by it and f"
95,fee,19,257,186,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,In paragraph 31 the arbitrators have determined their fees and have directed the disputants to bear them equally.
96,sub section,34,186,186,"spacy,textacy",1,informative,STATUTE-PROVISION,,RULE,,"Sub-section (1) of s. 21 provides that the Consolidation Officer shall carry out a re-partition in Roop Chand vs State Of Punjab on 10 October, 1962 accordance with the scheme as confirmed under s. 20."
97,division bench,30,185,185,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"The Judgment of the Court was delivered by RANGANATHAN, J. These are eleven appeals preferred by the Oil and Natural Gas Commission (ONGC, for short) from a judgment and order, dated 30th July, 1983, of a Division Bench of the High Court of"
98,civil appeal,59,185,185,"spacy,yake",1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,"This civil appeal arises out of judgment and decree rendered by Karnataka High Court on 22.3.1999 filed under section 96 CPC against judgment and decree dated 11.10.1996 passed in O.S. No. 3656/81 on the file of City Civil Judge, Bangalore,"
99,bench,99,457,183,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"When these appeals were filed a Bench of this Court, on 6.10.1983, continued the interim price of Rs. 1,000 per unit without prejudice to the rights and contentions of the parties and directed the appeals to be expedited."
100,duty,47,271,181,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"The learned counsel appearing for the accused argues that in incident in which two parties clashed and were allegations of cross-firing and assaults on each other, it was the duty of the prosecution to have also explained the injuries susta"
101,supreme court,52,179,179,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"3 0 4 0 , 2 0 0 2 ( 2 ) A L D ( C R I ) 4 2 0 , 2002(1)ALT(CRI)227, 2002(3)CRIMES158(SC), )SC123, , , [2002]SUPP1SCR581, SUPREME COURT 3040, , 2002 SCW 3393, (2002) 2"
102,demand,39,204,179,"spacy,yake",1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"According to the averments of the complaint, except for the demand of the luxury car no incident of harassment took place at Ranchi. 6."
103,country,31,222,178,spacy,1,informative,JURISDICTION-PLACE,,EVIDENCE,,It is a matter of common knowledge that unfortunately matrimonial litigation is rapidly increasing in our country.
104,commissioner,34,316,176,"spacy,yake",1,informative,FORUM-AUTHORITY,,ACTOR,,"[375E-G] Commissioner of Income Tax v. Shirinbai Kooka, 46 I.T.R. (S.C.) 61; and Commissioner of Income Tax v. Hantepara Tea Co. Ltd I.T.R. (SC) 258; applied."
105,owner,39,272,174,"spacy,textacy",1,informative,PARTY-ACTOR,TITLE-OWNERSHIP,ACTOR,,"Black's Law Dictionary (Fifth Edition) defines a ""public utility"" thus at p. 1108: ""Public Utility: A privately owned and operated business whose services are so essential to the general public as to justify the grant of special franchises "
106,witness,34,306,174,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,"The witness then raised an alarm 'Mar Ditta-Mar Ditta' whereupon his brother Ajit Singh (not examined), Darshan Singh s/o Ajit Singh (PW5), Sandeep Singh (not examined) and Gurvinder Singh PW3 came there."
107,district magistrate,8,174,174,"spacy,yake",1,informative,FORUM-AUTHORITY,,ACTOR,,Second; the fact that the Police arrests a person and later on enlarges him on bail and initiates steps to prosecute him under the Code of Criminal Procedure and even lodges a first information report may be no bar against the District Magi
108,village,24,303,172,spacy,1,informative,JURISDICTION-PLACE,,EVIDENCE,,To explain the nature of dispute over the piece of land he states that he is member of the Panchayat and with co-accused had approached the Gram Panchayat with a request that the path by which they approached their houses from the village b
109,letter,37,223,168,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,"The letters ""L/U"" were endorsed on the receipt meaning that the responsibility of loading and unloading rested with the consignor."
110,chief justice,16,168,168,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"Gram Panchayat Of Village, Jamalpur vs Malwinder Singh & on 9 July, 1985 CHINNAPPA REDDY, J. I agree with the conclusion of my lord the Chief Justice and I reiterate the proposition that the assent accorded by the President for the express "
111,complaint,22,208,167,"spacy,yake",1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"Respondent no.2, Manisha Poddar filed a complaint on 08.07.2007 before the Chief Judicial Magistrate, Ranchi under sections 498-A, 406, 341, 323 and 120-B of the Indian Penal Code read with sections 3 and 4 of the Dowry Prohibition Act agai"
112,justice,48,509,165,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"Inherent power under section 482 Cr.P.C. can be exercised: (i) to give effect to an order under the Code; (ii) to prevent abuse of the process of court, and (iii) to otherwise secure the ends of justice."
113,rules,29,203,159,spacy,1,informative,STATUTE-PROVISION,,RULE,,but the parties had merely agreed to act in accordance with the provisions of the Co-operative Societies Act (Act 11 of 1912) and the Rules made thereunder.
114,administration,30,205,159,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"Every High Court has inherent power to act ex debito justitiae to do real and substantial justice, for the administration of which alone it exists, or to prevent abuse of the process of the court."
115,central government,17,159,159,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"Functions of the Commission-- (1) Subject to the provisions of this Act, the functions of the Commission shall generally be to plan, promote, organise and implement programmes for the development of petroleum resources and the production an"
116,objection,53,189,156,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"Else, Sri Sen submits, a controversy regarding fixation of price will be raging eternally as the industries would raise some objection or other to the price fixation, whatever it be, and the interests of the public will suffer if the ONGC i"
117,public interest,14,154,154,"spacy,textacy",1,informative,PARTY-ACTOR,,ACTOR,,"The consumer under consideration by him represented the public need of the State of Gujarat and, as against such public interest, the Oil and Natural Gas Commission's profit requirements paled into insignificance."
118,acquisition,17,182,154,"spacy,yake",1,informative,LEGAL-CONCEPT,LAND-ACQUISITION,ISSUE,,"In the events that had happened as narrated above, there was no justification, therefore, for the High Court taking into consideration the higher offers which were brought into existence by Madhubhai after 25-8-1955 based on a bid for the m"
119,statute,32,180,153,spacy,1,informative,STATUTE-PROVISION,,RULE,,"If any abuse of the process leading to injustice is brought to the notice of the court, then the Court would be justified in preventing injustice by invoking inherent powers in absence of specific provisions in the Statute."
